address,contract_name,time_taken,true_count,iteration
0x000ae26329aa0c57b9badbdee2996624272905e9,TokenMintERC20Token,271675,130,11
0x0043625392a133a0df4c9cfbd7b8f9ae973c101c,ArtEdu,136482,80,9
0x0182c2f88461990fa276c47e8c199980d4cc2985,TheDoge,15237,19,4
0x02fdeea649d0291a987438fdaab5a71ed623471f,ArtDeco,87941,184,8
0x0445174b6fa65df016ac975967148d257598ee9f,wahwah,81547,198,7
0x04db919876162e249801c6c70f2beabb775bd5ea,CLOWN,65438,172,7
0x04f33d09aae7923fcd82590b1d8fef0ce41936e1,BasedPepe,67171,168,9
0x050d94685c6b0477e1fc555888af6e2bb8dfbda5,TokenMintERC20Token,259510,70,11
0x063139aa26c2b913177fb97f1952d266b30779e7,PubgCoin,89890,205,7
0x0633c21a97d2f044664d39322545e90ea2880ec3,OXDEAD,99103,65,8
0x08861e1b46d6a3d8a406a244a0d7f57a54191a26,DoKwon,15033,17,4
0x09e333e720e1bd0fe82d188d6aed36d22f96d399,StandardERC20Token,849697,95,11
0x0bca074237702acc7c8a4d6bc327a7b1409d19e2,BoneShibaInu,143698,174,10
0x0ca8f57032045a11b58f795c41c72701be0ca14f,TokenMintERC20Token,144451,74,10
0x0db106fd8debf29c3bacf11b70c9a6656dc265b7,TokenMintERC20Token,308468,72,11
0x0f5ca5f735ba1a40d67c6325c6f276a732f11baf,TokenMintERC20Token,14413,17,4
0x10245515d35bc525e3c0977412322bff32382ef1,TokenMintERC20Token,120503,70,9
0x109898c0e492db6286feec58ee2dde6ae50ad8b8,ProofOfRyoshiRelaunch,14601,19,4
0x123e58a9c6978d855cfe8bd14cf6994880fa9d3d,Baller,103125,177,10
0x141d747c237de7bcce3f2ea776e280235e1e06e0,TokenMintERC20Token,109647,111,8
0x146bba6bb90bfda8e8be72fe390da15a738db16e,TokenMintERC20Token,14704,17,4
0x156669a2dd7ada47e461b843c2bb74180f38449e,TokenMintERC20Token,14657,18,4
0x156a5ed5066de9bf08eff6e129ed649dc7728b84,TokenMintERC20Token,14509,17,4
0x1600c2e08acb830f2a4ee4d34b48594dade48651,TurexToken,21832,52,5
0x161cddfb1fb7921a01d45c147f44670bb060ace5,TokenMintERC20Token,90369,75,8
0x1a3833531428f624c19f4cbb6957c5c1e5e3e927,TokenMintERC20Token,14844,17,4
0x1ac38f34467618bead6ce1aff13f3a9c8eaf66ea,TokenMintERC20Token,106034,66,8
0x1ae57395aafc2e9c4172ba7289631b69817e6567,Rawr_Inu,15836,21,5
0x1f25ada422b1c54643996b3751dfa0f008f543b8,TokenMintERC20Token,102368,65,9
0x1f6cb817ee3e64afe0c03617e51c55e047a2953e,CHIMERA,181572,81,10
0x1fee5588cb1de19c70b6ad5399152d8c643fae7b,PhunToken,41635,19,5
0x1ff2e3bac33af1696b60903ce55b8063d52f22e0,RaichuToken,141226,63,10
0x21a7c981905077cf876dd1258adccfe638d6d875,TokenMintERC20Token,101638,71,8
0x243cacb4d5ff6814ad668c3e225246efa886ad5a,TokenMintERC20Token,590773,146,8
0x24da31e7bb182cb2cabfef1d88db19c2ae1f5572,TokenMintERC20Token,68299,83,6
0x2533ad77dfb16defd38c6b681acedfd16402a836,TokenMintERC20Token,14653,17,4
0x2676bde5700d5189eb6787629969497521f936dc,TokenMintERC20Token,102606,78,9
0x286b0975a1af3639cff798f615439e2790840d62,NewMonarch,17461,17,5
0x28c5d11436cf68fb0e7b21bb0c570f9ec62199a1,TokenMintERC20Token,91858,77,8
0x28e57c27368d1475a3ce49a25c48c40b85e7f7e1,TetherUS,81392,206,6
0x29248060b701fc33fc7637989d7d41a7cb9a9a83,ProofOfRyoshiWOOF,93774,79,8
0x299209fa44d48863c84125bbae12676ed6ce8e97,TokenMintERC20Token,85270,81,7
0x2c4e7ae81b409fa2f4c020f9b5062544c00c00d9,TokenMintERC20Token,14234,15,4
0x2dd1b9410c73e16b60240e529e38e30425f00d4e,TokenMintERC20Token,17911,17,5
0x2e550f8d4c5352040f9f13f2cc2e9c80c5b179b2,TokenMintERC20Token,14475,17,4
0x2f462eb6fc401841ab1d26fb6a580e90ed8ab3a7,AudioInu,14359,17,4
0x2f8982a409944ae97d63ba12c88185c8d7755ede,UNIDOGE,72621,179,7
0x2f9678085acf1897f63a102e9f7cb835609158d1,TokenMintERC20Token,14872,19,4
0x31286579de3256696e8732706a0eab97bce02efa,SHIBU,17662,17,5
0x3130dd4efcfd51166934039cb5747707a55f3a5e,GuideAmbassador,85460,181,8
0x32305e2d44952480d7d686682d1fbc47eb3e7556,VitalikProtocol,14627,17,4
0x32f9308c831bc74a8bcc675148e78340d812a976,BullRider,131212,158,8
0x3301ee63fb29f863f2333bd4466acb46cd8323e6,AKITAERC20Token,401516,58,11
0x35a06c9f13eaded21e0157b5c6f7654c9f1c47d9,TokenMintERC20Token,17707,17,5
0x35cd5afde3994608934f3bec6621ba2f0606985f,TokenMintERC20Token,103417,42,10
0x3622d034fbf3baec7060c7cb484a121389684986,RyukyuInuERC20Token,113240,77,9
0x366c6893180dc6494b3b9857d0fdd9657cbe79ff,NyanMoney,85702,76,8
0x3705795cd1b6d5bb59755c1c65e1c3e17e999707,TokenMintERC20Token,80621,77,7
0x370fd741e9168d542f34c6055b1eac62977935be,HERO,50986,52,6
0x3739426e21d912b604c106f852d136ba58f61517,DOGGO,172186,62,10
0x37625467ab3d09c5c918192aa915f6039270ac7c,WCFloki,14743,17,4
0x3781731acd887b14d7f7f261f3aada7f6405868a,Arcanite,53445,174,7
0x378385c2f2ab9052e38d9cb4025ebf696c17b291,ECTONETWORK,86223,196,8
0x37a15c92e67686aa268df03d4c881a76340907e8,PIXIUFINANCE,64967,182,7
0x380724fa326ef4a616798e67ac042b2b647decd3,SpartanGlobalCoin,69967,186,7
0x38c97cbd6e986798207b4b29ecf01ea8977b7256,Hypano,49346,165,6
0x3b517706b1a382c07720374401e6c9b70b3b4fda,TetherUSD,85864,164,6
0x3be4f8f548f86573ee165a5514016477b91dec0e,TokenMintERC20Token,14417,17,4
0x3de5b51a6bda1d4105c45866365e96ce12072337,GrandpaInu,75044,176,8
0x3f807ddd3b97ec2455099bc58ec3e072e03184aa,AstroChimp,17695,19,5
0x3fa18875876794040105ff06dd50662d8e4b3054,TokenMintERC20Token,59482,73,7
0x404ae50fcd850249102581df74913f3134247656,FFLOKI,17757,17,5
0x419cef153e8a6086df494e7832c18fd82a738efc,TSUKASHIBA,94769,89,8
0x4245acecd4eef3ae8fbfe09939c9b63595887063,TokenMintERC20Token,510689,85,10
0x4333993025af6475b86e18e3ef8b371bb5966ec8,TokenMintERC20Token,137474,134,10
0x43b0bc65935a59ec7d6ce15e6d3112691a8e1dd9,TokenMintERC20Token,794821,131,11
0x44cbef5623732816c875e042fc7541a62c592896,Fud,1041390,86,11
0x4612de7d9914550dc8a296c8cc780918cd50b0bf,Later,14678,19,4
0x46c8bc609290ec216541b7dc0b5d065cdc99ddf4,FAITH,17365,17,5
0x478f8f729d607ad83af58adf3508a63423e3c840,TokenMintERC20Token,17725,17,5
0x4791d897b977c6f45eff8bf659179490427733e6,DickButt,88002,65,8
0x47d920a911cb9a0ad4618698ba3fef800abc868d,TokenMintERC20Token,1377663,157,12
0x48cd2a4947aa70251654312a2cbfa99663560cbd,CodeWithJoe,53446,175,6
0x490e3f4af13e1616ec97a8c6600c1061a8d0253e,TERRAN,5930,27,1
0x49c9e30aaaed066edd4a90c81cf8f232f61a29f0,TokenMintERC20Token,111471,65,8
0x4a22a69e45ab29f9f7276b0267797474daf1f27c,SuniToken,85201,166,9
0x4a4cc88232b5cefdfca33908f01c8a1f2817a30e,STOCToken,86308,170,7
0x4a9d711100aff9a444a3c40284f70269bb3f0487,Chellit,5677,27,1
0x4aff7f92c77fd0f51fefb03064aa1edb292aaa2e,KingShibaInnu,168159,188,7
0x4c6719bf85903d18c295da44216f862b01b36f43,AlloHash,77087,188,7
0x4c88868fb696ab8c19cdd06517dca60ae1e9ec3c,TokenMintERC20Token,14670,17,4
0x4d5d3170f407cacaaa328660c2ee2499055e3b07,Token,79159,122,7
0x4dd981f0f2e7934b6b50c9d1beda2b5456924df6,TokenMintERC20Token,659992,133,8
0x4de9622458d05abcaf3970b9369eb50b6d2b4018,SENDit,46570,166,7
0x50544034f0f717b5a3c86cb3937b154401350b9a,TokenMintERC20Token,102641,72,8
0x509ed91b94972adc72bf7a7b326cfa6ba6378e7e,LilShiba,399958,87,11
0x514d27336b4f80419e20d2a772d14efede22f245,TokenMintERC20Token,795365,73,12
0x5183633579015b296f1dd86b0f12a628f8eac66f,LimitMax,70701,182,6
0x51fa8077fdd878ccce56912c3cb7fb9a87d0eeaa,CodeWithJoe,86364,196,8
0x52ba20ec24e585f90745ccdfb7abce265c677854,TokenMintERC20Token,140400,81,10
0x52cfb503789e67f89dddd0fe13e34058eddc8aff,ChickenorEGG,17681,17,5
0x544d31cb6470fe93f38f9247159dd0a416194937,RKTv1,39991,154,6
0x5450f8e9f5b6de436c0653ba9c9bf46a50cf3540,TetherUSD,99272,153,8
0x54eea4fd7321ee84178d41364aa7770897073a6e,TokenMintERC20Token,19097,17,5
0x55186e18d999eb4f99d7bdbf7b754bd55f03e1c6,XMAS,17846,19,5
0x5617402ef91a7845a68c0d092f737bccae3e99d8,ShibRussia,16499,66,5
0x56366ce135cc5f636365f11e4e3450ef03241c44,Bone,106242,197,9
0x56779592815d1d9298d5c88fc64413b1eaaf00dc,CodeWithJoe,43072,128,7
0x56df7dd5e6476af94666e856c38aefc4d4555861,DinosaurERC20Token,921765,71,11
0x582e4b2543a2647b1d7fb79bb6b45115a6c91b71,TokenMintERC20Token,17629,17,5
0x58d208b574415e275989764c7398488b7ce78e72,TokenMintERC20Token,14609,17,4
0x5918e2d37a7e6472527a9dc2997aef795cb8c9c7,SenpaiERC20Token,117178,82,9
0x5a8e7804543ebbaf0fac75cd961512461d16ad89,TokenERC20Token,14991,19,4
0x5d70e6e2c0c2a728cd187f6b1dce47234b8e22f1,ApuCoin,80681,206,7
0x5e0e7db26759f58c1790c608364ef01482e95f31,BlackCock,87375,184,8
0x5e5948c6a1c48b5b6a19852928af3b72e974ef8d,BigBabyInu,617398,385,11
0x5ed617cc34b075ab96d08f24e16811567a37f129,WeAreEarly,17458,17,5
0x602f65bb8b8098ad804e99db6760fd36208cd967,TokenMintERC20Token,1104871,67,12
0x6034644917193c23360549bfbd503691d5aaaa68,WhiteHokkaido,780226,157,11
0x60784895892f9bf9a275aa64b98381ee9a627a00,TokenMintERC20Token,16991,15,4
0x6131240e5202a3a18f4bb1b6326720f6c9141ddc,TokenMintERC20Token,230399,62,9
0x617b0e7d37b5cd55ad584c7e806a71c64ecc2a28,TokenMintERC20Token,1249499,66,11
0x61cf315e00e758913409dc7c339be3585b988716,AlphaWolf,16435,66,5
0x61d45f5475d90af0c3b3f3673beb18b43284dce7,YCCToken,72246,131,7
0x61e3a1e22faae1ea9f7f8618fd7b4a9bb3109376,TokenMintERC20Token,151924,73,10
0x62406995cafd18f57e7375e8e0060725acebce58,FirulaisWalletToken,629079,165,9
0x625f1ba41b943470a25eca25f636ada3b15c009f,OXDEAD,104240,55,9
0x62c8179b08b72acd4e745b33415aa512f2aa4097,TheHound,54362,149,8
0x631c6b3332dcc35314faf56e81eea792ffcc3c2a,TokenMintERC20Token,481724,69,9
0x63da9708a4e9e793472cd5a4090f648f6764ffe3,TokenMintERC20Token,97084,86,8
0x6466165ef085c4b5bc9c978397b128a85d12c184,TokenMintERC20Token,130849,125,8
0x655622a4944eebb09db662bb04e7372de30684f6,TokenMintERC20Token,114143,61,8
0x669d810e04453d449326d1744cd7165fa0c6c362,SCLOUD,16223,66,5
0x66e1f73c0bd8fa9fdfb6c408ad16cc4d95ed9a53,onedayrug,60684,181,6
0x66e8643f1086b1b1cebe97567f70900a904b9f4c,TokenMintERC20Token,91334,72,8
0x6713ebfbba23fc364639fb4e29fad3ce98ae958c,WishOfADragon,17652,17,5
0x67383419c36c1bbd87d4ba3eeccfa5b90b0e9b75,TokenMintERC20Token,17388,17,5
0x6767615a97a8204298bbac44c57ef1a615eed244,CribnbERC20,1088725,327,10
0x6814ecf552997f29abf6041613fa9e0d83960fd1,TokenMintERC20Token,18870,21,5
0x68c5ecd3ccbe1346bfc6068409b7a5407384e79b,TokenMintERC20Token,111631,69,9
0x68def9fb11966fe7604994d7b8ba412724896508,TokenMintERC20Token,15816,21,4
0x695d93f8d758152258a5553a997b4e0470796e0c,TokenMintERC20Token,17942,17,5
0x6a137df19d3e987e3207e8c94387bece89d385f8,SACHS,55762,164,8
0x6aafc0d754a108b1988fcc7a278af5df8082915b,TokenMintERC20Token,14373,17,4
0x6f2a550259532f7429530dcb93d86269629e3f2a,CloudProtocol,317777,170,11
0x6f6dcca7938ae7a92ecd4510090b9fc987679846,FuckElonmusk,61638,164,9
0x6f95df342e9d336275b05b1d7a43459c26be1963,TokenMintERC20Token,136822,75,10
0x70665f330191abababc772f5e51ba1ecf61672ef,TokenMintERC20Token,83725,78,7
0x706cbdaf9fb714491cecf22f236fc5fa26ae590f,MonkeCoin,1223333,181,12
0x71ff17244fb9df0b5f937cc1ec361e2d3193fddb,TokenMintERC20Token,18941,17,4
0x722a3d0d45c0125810688c58c065258cb32dc878,TokenMintERC20Token,17885,17,5
0x72f0c5d7fb01506543c2880e1a7f808e0a81febf,DogeFather,59528,176,7
0x7302429c53c54d15328e3e393d52d005e9759355,XINU,55957,75,6
0x73cea1d52eaae08f87178dfcbda80e29cb1333ef,NewCommunityERC,14313,17,4
0x74f74426f50476ee56265cd3beca8e9eb2f33d38,Starship,1189010,154,12
0x7631127e358517e3b15903bbcb0f50a45a4379db,SING,139069,170,10
0x766d4c9c1c7316e97968a36b7b01bf7fcda7feb6,KogiInuToken,64737,181,7
0x77d46a60ed0ef0cab6a057f85377d93c6c8ac59d,KAIDO,17558,17,5
0x77d9b125814024adc1a36faef43ed66e08ef6b5d,TokenMintERC20Token,14441,17,4
0x78132543d8e20d2417d8a07d9ae199d458a0d581,TokenMintERC20Token,61008,73,7
0x78223d31298107f3e310b09797b07967832046a6,RoyalSmartFutureToken,94028,219,7
