address,contract_name,time_taken,true_count,iteration
0x78689fd6ecd9c168b2ba69ff022ff70302f0bba7,BLOCKYDOGE,87596,182,9
0x7b52118bcd20d43861cdb112150a9b0342677d3b,TokenMintERC20Token,558502,235,8
0x7c5ff719a6c76fe643e9ecd0f11f146a2de05f14,GaneshaToken,66664,172,8
0x7c74591737b0e3696225e3dd0af30c980f9584db,CONTRACT,79331,73,8
0x7d3081391168d9f6468c995d42a5a84541042c98,shark,17449,17,5
0x7ed61015c637baf69abe9cb6ba1e33ff67a70b9f,TokenMintERC20Token,18006,19,5
0x7ef251ff04af17692abc266d70c695fa9340da92,TokenMintERC20Token,266614,77,11
0x8037fbdb3a8b4befdd40fcd75e899b2aba5bf5a3,TokenMintERC20Token,91818,88,7
0x8041f3f7225faa16e970a8f76c318c426335bd46,TokenMintERC20Token,126174,79,9
0x80e9dd5d9c01082f4ff1620f0d19c8b95307403e,InuClassic,68751,50,8
0x81822b2db9fa36b5a27b1fe02eaa15022f77908b,TokenMintERC20Token,101033,61,9
0x81b3e4111b0aab36b3fd679e04e84e38931244bb,KillerShiba,50652,161,8
0x829da30d9dba1e3f26685bf9c32a6261fb76b5be,PulseProtocal,14217,17,4
0x836775359fd7b19409f2914719c67e4db7073eab,TokenMintERC20Token,22859,35,5
0x846132977b441bcbaeeefb79e056f7c5be8fcdf3,TokenMintERC20Token,111840,85,9
0x852d32b7eaafdb1d91435a4167ad850c158b73b7,StandardERC20,107833,63,9
0x8574acee3c4aecc41bb27c2c2bf767052af986a8,ChickenOrEgg,95727,77,8
0x867619bbf77141db2d9789b6b41a8c1fe2d1898c,Paid_Network,68957,113,8
0x869869557b692a5e52402b2c0bc2315fa5f4a3ec,THE7S,94733,85,8
0x881dfbdcbccb440aa9e8b4285103832f5978b6e6,TokenMintERC20Token,96583,71,8
0x890894fc403f18966e4c3822a5615e81d3d51a61,TokenMintERC20Token,17427,17,5
0x895c388cdf8509d0a96aaaf2f4939623ed1d0e0f,DoKwon,14320,17,4
0x89d89cae660e335b3923d5161894537d41fb7704,BabyDwagon,17440,17,5
0x8a03f622845e560e9083905d874f8bd4b74cf6b1,DRACO,14452,17,4
0x8b4e225e41e5e21fb1829ff663d8695de98e8c9c,TokenMintERC20Token,18065,19,5
0x8bd3c30d38301d212b7bffbbdbb0ab84fcfbadf1,TokenMintERC20Token,130576,63,10
0x8be6c97a8fd3b2c450d7124fcdbe2c595e3cff5c,TokenMintERC20Token,817338,82,12
0x8de4644406933728ac9df5bc648d1482fb628406,TokenMintERC20Token,90497,62,9
0x8e46ef0fbac19cbb39d055ac09f7c37df01d5a78,TokenMintERC20Token,17881,17,5
0x8ec39e54303269cfea50bb0555cf7a73fd933f73,TokenMintERC20Token,645064,154,9
0x8f12dfc7981de79a8a34070a732471f2d335eece,CryptoExcellence,74483,166,7
0x8fae1c7f3449a35caae9864cb0244e451cfc64c8,TokenMintERC20Token,14919,17,4
0x8fe0bda7272b0dba2b3ed4a53b26ca8000eb0515,CodeWithJoe,85456,192,9
0x90da8f6fafe1df415124854e78390d6589d315d9,ShitakiriShiba,14368,17,4
0x911f5e6b29ae4f9c8f1c3d179b9b249bba6d8262,TokenMintERC20Token,100012,85,9
0x92179e3019fd9885318ef52a39ef53b63a02e10a,FilxToken,70942,76,9
0x922ffa8c0c64854dddfb93320b4aa79d91972ad7,DababyInu,72151,176,8
0x923f3fe77732ec3fc5327eb52327b06be4e472f8,KPopKorea,339558,132,11
0x957a549aa265b05364063b3cbd4ba653cc4e60d6,SpaceGoblin,16319,66,5
0x95a877d264ce525c6464eead9ad1041dab753477,Kek_Inu,64243,112,7
0x95f824e2b4cd3cc628f179a3fa1af51d9034b30a,ZeepyNetwork,66777,164,9
0x96439276b2e77061bc27bc2c4508116bab019a1e,ForTheCulture,181923,76,10
0x968afac04e82e186f2135ce689cd775084016c35,TokenMintERC20Token,55605,62,7
0x97b3c9aa2ddf4d215a71090c1ee5990e2ad60fd1,SteveJobs,166116,187,7
0x9857f4952b4ffd1c801b3b80c6bcbadffc8925f9,TokenMintERC20Token,135801,61,10
0x98a92c1c2ad19bb21b4efc9cebe2fa3c64b89ec2,TokenMintERC20Token,914262,74,12
0x9906250e4bc7f8459928c662b8ec30ffc83e2764,TokenMintERC20Token,61517,17,5
0x99dcdd2804ccd1f76f0fa0d28c2a1a271b269d97,TokenMintERC20Token,88596,62,6
0x9a3310554790d257277b2feacd9e2f0568fa46bc,KNOTINU,75322,163,7
0x9a9b502821165363595c23576a827589023d462c,DogeKing,408722,101,11
0x9c30a3469392c4a152054efa923c664f040e8a07,BONE,105458,179,7
0x9dc12f5a04cb72daedd547bb89bc6040ffe2bf52,INU,49553,15,4
0x9dc385b6fc71913b3a66b5994ea44027e8e66eb9,TokenMintERC20Token,53011,17,5
0x9e0796c4146cd6ce77a9e1f77f2c3f21190a9055,TokenMintERC20Token,102858,63,8
0x9ec88cdb70a8a3d032a11ae41ecd31a074e22dd0,Dalmatians,113785,186,8
0x9eeed3c42944bae761397e19a51d3fb8d85b1fd4,TokenMintERC20Token,219459,90,10
0xa148518ac4ac3c6477d506969f8ca74dd87fc6ea,YakuzaInu,52487,17,5
0xa1a7a1c19e6cc4c79ea5f4b344181cf1be07e6d6,TokenMintERC20Token,118545,81,8
0xa25c780132be018a4064f0aa62ff54a32687ae14,Bone,89324,163,8
0xa3942b69d8f3d4688830e8e22579c1032038819e,Summit,106026,177,6
0xa3b19abc996afb6fe91e8f0525432419af18d886,EnergyEfficientEthereum,861651,245,12
0xa40dca4c84ea712b7f81887bc14fe02012fdf383,BabyDwagon,59673,17,4
0xa4a386baa17f70492b3594d3e5a035d63de19c24,TAMAFLOKI,54219,17,5
0xa5bbfd69f33ac1044d3578dc4f8a0af0f54e4ebe,NUMO,107178,102,8
0xa60bf48f8de6470b9c9d3e1ab78088ce3d89faef,Blobfish,167412,195,9
0xa759b4d96206db5298eda127f34fe9dd0dbbb5d4,TokenMintERC20Token,49779,17,4
0xa77768fbcfe812af69ab4c3e1e3f9ef9f5651bfd,ERC20Detailed,51292,16,4
0xaa0c0746fb71a85f2882dd364611dc755d2e3fa9,TokenMintERC20Token,49305,17,4
0xab17bfe3b3fd3899067bdb7c6e715ba76e945ef8,WAGMI,630063,77,11
0xad0d2a577d2f77952e23a8f26da7386c5915b8f9,TokenMintERC20Token,230266,17,5
0xad6db2bccf9e929c0857c545ec84360faee61f0a,TokenMintERC20Token,224509,67,9
0xadab18a88f5694ac58109101761a3a0e827a01b6,EthereumPlus,109942,181,6
0xae885395ab64c97e87fd18a1944d72d37f362531,TokenMintERC20Token,121120,78,8
0xaeaf5a669be696b8397660f99aec835ed6bb6ec4,Poseidon,53261,19,5
0xaeb56b273e18399d5fbd086ce805ad534120bb2f,TokenMintERC20Token,114046,75,7
0xaee8365a7fc6823383107b8c43328ffa2424f4c4,Tatsuya,50857,17,4
0xb11d115dacdf54ee1855c251aa6ca693fce46c68,MCity,51299,21,4
0xb16ac49e620099ddff1a80f1a233e6497ac281d0,TokenMintERC20Token,126328,63,7
0xb1a59ec48b17f5c4f1ecf9b166f491aea633658d,QuadrillionToken,779118,74,12
0xb24b9d0cb5f664a8c877ae365f7186db7f801a77,TokenMintERC20Token,53512,17,4
0xb4f4a58ff2398ab9025f842b6035c39b1d63f585,TokenMintERC20Token,131042,94,6
0xb5c723229a975dfdcd81a9523738f78c882dc969,CodeWithJoe,120241,168,7
0xb6a3fb9a636f6f3b22c06c8ba62b63d7d499fa15,TokenMintERC20Token,116536,71,9
0xb7131835d3fc64bcb1976733e28af8364d328f5c,DOGKINGERC20Token,111050,58,9
0xb77ffbb00f4c529747bab93bdeb3dce49b021e76,SafeDawg,100244,178,6
0xb874921bfc23e4800a72d0108458cb14ccd12601,PreciousMetalCapital,804266,204,11
0xb98717fdbe00ddc418eb3431b1219fc6183d3eda,TokenMintERC20Token,49329,17,4
0xb9ae6aa6732f8f31e2de93509ef91abc2aa7dc16,TokenMintERC20Token,119224,82,7
0xbbc23359b5b9a59404d41b71503bd9e92e7f30e3,NudesToken,172932,172,10
0xbc08617c95215f3d397317d501a02505132d5a3c,TokenMintERC20Token,49458,17,4
0xbd4b2049c112b46bc3927189521a2da67695fa78,TokenMintERC20Token,132981,67,8
0xbd4b2dd8fbcecb2af5904ff5f218037b0f693275,Steed,143319,85,9
0xbde21e032501c1274db7dcf4827d1479dbbd395a,wath,142443,73,8
0xc020cd68ee47d3c85c5bd88aede1cbf0a99f0fa6,TokenMintERC20Token,321854,68,11
0xc240ec7514670ac49a4cd2382d256884bbd9e22b,HighKoo,49424,17,4
0xc305d7101f1fca1a14186c3b88034b336ca46c5c,LUNACAT,49342,17,4
0xc382e04099a435439725bb40647e2b32dc136806,Cogecoin,148608,71,9
0xc3b3643bb5846d289598b5aef29f7203e95cccd6,CodeWithJoe,51080,60,5
0xc45efe8b705c97e9d49612443ccb10aec52a2543,ProofOfRyoshi,143569,69,9
0xc4b9cf462cafc57e4742e9131fce8344eba3a97c,TOPG,49327,17,4
0xc59f4a906f39b65ba9e1968a39be76dff59b3948,TokenMintERC20Token,130532,85,8
0xc5ba8e0afbbc9eedcd9f8c780e36369b0769ee52,DRAKON,208431,76,10
0xc6d9d17ff3e28c0dc27c4e0184f48cf4b159e40d,TokenMintERC20Token,210933,62,10
0xc781b60df6d8c5701683060a7cf3ee80144adfcd,FOMO,129973,69,8
0xc786864b37b6bf056f32deb5fc80c1f38bfcf4ab,Cassandra,124428,84,8
0xc8705424948e97e6db98022ba81bca5164660c82,KogiInuToken,89941,154,6
0xca09dd9874146250ca0fe8e03aa2266f66efcd61,AGBTS,212934,156,9
0xcaec28836b84f8b5c533983799fd78412fb4395a,TokenMintERC20Token,122897,74,8
0xcaef876b8be5f31aedf7e41cd19d65f4559aba26,KUNGFUPANDA,51000,66,5
0xcb1384c4c795b2264b721e3a53edd67e8c565046,straydog,124704,71,8
0xce6d54426853b3668142c2a47197464757eb1906,ShibaTwo,114538,60,6
0xce90d1d98b5ca16b79c7eedada2454c2564da59e,TokenMintERC20MintableToken,137807,77,6
0xcee97db72b803ba82f8decb78155ee9b1ced43b3,TokenMintERC20Token,49473,17,4
0xcfa6ab49f69800b877070f231f22496249990cee,Brahma,594367,361,10
0xd1d53b74edd8d13d8393c4d3474a5d5befeef9c5,OuroSwapToken,100305,179,7
0xd34ea981c71d98fc74b384f4c87b0ac4ca602e19,TokenMintERC20Token,143769,79,9
0xd3d5b7793082d7207259cc48196b19023cdc4f86,TokenMintERC20Token,1575077,55,12
0xd3f47e6dfb735816a821934be4b3188604d6289f,CR7,61024,21,5
0xd4ac90e33ac839c29a3d98c807eeef0c4508bee8,YCCToken,146152,190,9
0xd640b30fd59a1aa51c4042db278744569a84088d,Pumpor,53326,17,5
0xd6cb57173cb2f00d0690e5055969ce2a97fdbef3,TokenMintERC20Token,299636,87,11
0xd72b0208101d36deaca0feed4f0787bf0ba4c5e6,USDT,119596,184,8
0xd793840a2ef634d0151952b4f45261984eed06ef,TokenMintERC20Token,50166,17,4
0xd89b6c0e64bd0bec3cc55afed4fb218dcac8f9bc,Oliveira,53171,17,5
0xda6f3e151596cdc0c504e14932496ab8b2050895,FlowerToken,287149,170,11
0xdc94594af43d1b3644030f0e1d445e3af380c3ea,CHIMERA,138025,81,9
0xdd1587661601c2d3a986d28a8085d1221b9be9e2,LagoonToken,50062,17,4
0xde9d1ce772cb6e4ed37010da101f725b6d72dbfc,TokenMintERC20Token,50292,17,4
0xe09edc65e66db6547471c6c5f4c67dfabeaebaa0,TokenMintERC20Token,764232,119,12
0xe09fb60e8d6e7e1cebbe821bd5c3fc67a40f86bf,PikachuToken,687485,72,12
0xe0b96fe2a3364286874f476d6f0b4460bcb321c4,The0Protocol,64119,17,4
0xe4f6d46c244bb7cf3e218cdfb5c35cf9a4d9c920,Donkey,116177,172,9
0xe56a087f6183fb07d96760f838cfb57ae14350cf,ZillionContract,53247,17,5
0xe6d57e156f04d145bb0b8ad07d29ffe4525b5bcf,TokenMintERC20Token,52758,17,5
0xe774959acd78a33ab7730b44a9455fb99d5a7ea8,MXSamurai,114281,174,8
0xe8108761c6330054abc47cab35b94a3d3db98f6c,CR7,179670,76,10
0xe9cfbec0ec1821d89d30e70f588026a539d08a00,TokenMintERC20Token,134425,74,9
0xea75671ab1d5c71b29399c0c4eccd5a9dbe41370,TokenMintERC20Token,104961,65,8
0xeb0667a016d71a16dd8a949878c1fceda5af0305,AlphaProtocol,52364,17,5
0xeb2fce02460b095f7b084081c4799db0fb0b8a84,Cheese2,110110,76,8
0xeb855dfcfe5ec90e124f943eb980f8f053043c6f,BMASYA,1140870,65,12
0xeb99429370758367bf895d25ce67ef363cd2209f,TokenMintERC20Token,229673,17,4
0xec4a1c7a4e9fdc7cc621b548a931c92bc08a679a,Goji,298201,178,8
0xed4c7a0d6adfa56a9b8c2916f6f4dfc0cb6e8038,SENDOR,147921,17,5
0xeef7eaa73cab2f07f8ecee246f479a76139e236d,MyloToken,203112,170,7
0xeff58e509c8ec87a8489430acfc87ce85032f954,Manaio,189564,181,7
0xf037795069cd37a47e3c980f7556cedf349edfd9,TokenMintERC20Token,125747,17,4
0xf38af070c85cafcdc4107db3fdac37186bf8789a,NFTNetwork,222380,187,7
0xf45b8a487ede08aef7f033376b7aaf57c043363b,TokenMintERC20Token,112462,17,4
0xf484d756be7d26bd2b17531c06acab253b6b3615,TokenMintERC20Token,123202,17,4
0xf5318b3941b3f1239dd910c941bbe2259f32311b,SOGEERC20Token,159104,67,8
0xf61ae54b74a37be4fc11e9f1a35021848d996afc,EmaxClassic,923933,120,12
0xf6e0b8e198a02f7db80a2598b4a849413a76494f,ShibaInuContractFork,811577,71,11
0xf7494cba51d0c8c9d4e027879a0c575ef6f95428,Dieback,52699,17,5
0xf8365adb7c51fdaa3ba390d58860fc434cea782b,TokenMintERC20Token,248951,171,9
0xf8ccad1b25a54ce12f1b1ee56ef0f2a930d3e969,Finder,8186,216,1
0xf9b07802bc63386d8c38925dbde8a48b6b519512,FORPPL,49834,17,4
0xfa302f6711e7a9cb443811ca72166c435e150635,TokenMintERC20Token,50136,17,4
0xfadab74521e9ff2a2fad60b135fd6fe61c8673cf,VenturesCoin,193359,173,10
0xfb36cd4519f246bdabefaa940df399a2ac636289,CodeWithJoe,133659,216,8
0xfc106446fe007ad77fc4c1d20e8d7488a266c432,BBEXAMPLE,49715,17,4
0xfd7f5fc20f3d4fad29c02bdc327c852b5fdd29b1,LUCKY,48607,66,4
0xff9cc755e50707c40ae1add039b9e316cb96ef3b,TokenMintERC20Token,134227,64,8